,ID,date,dept,annee_const,hauteur,etages,mat_murs,mat_toits,nb_angles,surface_bati_dur,surface_bati_leger,surface_parcelle,nb_bati_dur,nb_bati_leger,NbPieces
11084,1529154,29/05/2019,42,1930,6.9,2,24,10,7,102.6,0,367.9651071,2,0,4p
14159,262323,04/05/2015,13,1929,4.8,1,40,10,8,163.5,0,976.2951595,1,0,3p
13372,1603536,02/06/2015,59,1928,10.1,2,40,20,8,291.6,57.6,638.5990516,1,1,5p
3109,435832,26/12/2018,17,1948,3,1,40,10,9,74.7,0,611.0663258,1,0,5p
7568,1957282,27/07/2018,63,1900,4.4,2,10,10,7,152.7,0,1078.095325,1,0,2p et moins
10182,1058492,29/07/2016,35,2008,4.2,2,50,20,18,125.3,0,498.5770734,1,0,5p
14938,1911477,13/03/2018,62,1965,7.2,2,50,10,11,119.7,15,419.5244338,1,1,6p et plus
7173,1809595,19/04/2016,62,1976,5.3,2,35,14,8,144.2,0,747.1710408,1,0,5p
12171,1431958,27/05/2020,59,2006,3,2,14,10,5,100.5,0,800.0256867,1,0,6p et plus
11184,47238,18/03/2016,2,1949,5.7,1,59,30,5,89.2,0,634.6763109,1,0,3p
4884,1853242,28/05/2018,60,1850,4.9,2,40,10,9,110.9,0,277.7739464,1,0,3p
2106,2228463,16/07/2019,63,2016,4.1,1,50,10,7,173.8,0,516.4196824,2,0,4p
3399,1285763,26/04/2018,41,1976,3,1,40,10,11,65,0,367.4909963,1,0,3p
12238,2331539,29/08/2019,66,1966,9.3,2,10,10,5,66,0,70.57283105,2,0,2p et moins
4673,1445230,19/05/2020,59,1971,7.4,2,34,10,7,61.1,0,218.5395836,2,0,5p
3275,97486,30/07/2019,4,1970,6,2,32,10,22,112.5,81.6,1573.677211,1,1,5p
6568,1569928,01/07/2016,54,1979,3,2,30,13,12,103.4,0,454.9882791,1,0,5p
8955,698993,20/06/2016,28,1981,6,1,50,10,5,177.3,152.9,3450.738401,1,1,4p
4805,238070,13/10/2017,10,1850,4.5,1,50,10,7,301.2,0,1365.387745,2,0,3p
6660,1489432,09/10/2019,41,2007,4.7,2,30,10,10,85.4,0,275.0259332,2,0,5p
1259,325410,30/10/2020,17,1960,6.4,2,15,10,13,377.4,0,5814.673547,1,0,6p et plus
14782,817923,08/06/2015,33,1955,3,1,40,10,9,131.6,0,841.2445414,2,0,3p
1726,1721575,03/05/2018,56,1930,5.6,2,10,20,8,84.7,0,363.394151,2,0,6p et plus
3900,2015944,26/10/2017,60,1976,3,2,39,10,5,64.1,0,139.0492298,1,0,5p
3868,2224383,05/03/2015,80,2009,5.5,2,25,10,9,58.2,13.5,223.3235377,1,1,5p
12195,890199,31/08/2015,33,1800,6.7,2,0,0,6,100.8,0,642.0618073,1,0,5p
7423,933832,27/01/2015,34,2009,5.3,3,40,10,7,139.4,0,1213.412092,1,0,5p
14249,1071056,30/01/2015,38,1860,7.6,2,90,10,5,119.5,0,150.7214946,1,0,4p
7458,1948899,04/03/2019,56,1978,5.7,2,35,20,5,18.8,16.1,1800.172176,2,1,4p
3637,207060,10/09/2020,11,1756,11.9,2,40,10,11,226,0,385.4357086,1,0,2p et moins
13641,2720103,30/11/2018,90,1973,5.3,2,24,10,9,79.1,0,337.4309835,1,0,6p et plus
2458,1545545,23/03/2016,53,1800,9,2,12,20,7,94.7,0,677.1447477,2,0,6p et plus
12529,557522,23/12/2016,22,1970,8.9,2,12,20,7,114.3,0,437.0155688,2,0,5p
4730,323143,30/09/2015,14,1963,3.3,2,40,10,12,256.8,0,258.6635231,1,0,4p
9971,387734,11/05/2016,16,1830,6.2,2,20,10,6,93.6,0,463.1963113,1,0,6p et plus
14009,1397889,09/01/2016,46,1965,3.7,2,40,10,5,195,0,618.0840782,1,0,5p
13924,2489287,16/12/2019,72,1975,5.4,1,34,20,5,61.1,0,217.0298927,2,0,3p
1399,396830,10/07/2020,22,1939,5.2,2,25,20,22,265.3,29.4,983.4016355,2,1,3p
10943,1321289,23/01/2020,56,2009,4.6,1,40,20,7,154.3,0,195.0942379,1,0,4p
258,756878,14/12/2017,27,1971,6.8,2,50,10,5,123.1,0,585.9206116,1,0,4p
1097,1955522,05/06/2018,63,1982,3.9,1,50,10,9,58,0,322.2662595,2,0,4p
7901,801730,01/03/2019,27,1966,3.3,1,49,90,9,81.8,0,245.0681378,1,0,4p
2771,2366038,23/07/2020,95,1970,7.1,2,30,10,NA,120.6,0,658.1280577,2,0,4p
10917,71316,27/04/2018,3,1885,6.2,1,14,10,22,102.6,0,1112.384398,2,0,2p et moins
5285,2364938,05/08/2016,80,2013,4.3,1,39,10,11,126.4,16.9,1463.344648,2,1,3p
3681,888631,20/06/2016,33,1978,4.4,1,40,10,9,16.5,0,15.97153732,1,0,3p
1332,1356602,28/11/2016,44,1750,3.3,2,10,20,9,94.5,0,314.5799581,2,0,6p et plus
8600,1438751,14/02/2019,40,1900,3,1,19,10,7,66.4,5.4,145.8436795,1,1,4p
11074,2067662,29/09/2015,76,1990,6.5,2,50,10,5,130.2,24.4,1113.497054,1,1,4p
5933,2724544,13/05/2016,93,1922,6.5,2,24,10,9,101.3,2.4,497.5599424,1,1,3p
6562,1610678,15/06/2015,59,1890,6.8,2,40,10,8,79.6,0,1674.039751,2,0,3p
6563,1232475,19/08/2016,41,1800,3.1,1,10,10,5,130.8,15.6,450.6430665,1,1,2p et moins
4331,2777156,27/05/2019,78,1880,5.9,1,1,1,6,151,1.8,515.8273471,2,1,3p
13715,2647597,25/10/2016,91,1975,4.4,1,30,10,5,96.6,0,303.1519476,1,0,3p
12945,731881,07/04/2017,26,2005,7.1,2,20,10,16,256.4,0,649.9265703,1,0,3p
9785,2216502,21/05/2019,62,1881,5.2,2,49,10,7,36,0,229.2288055,1,0,3p
9,312860,29/06/2015,14,1958,8.9,3,20,10,5,126.9,0,1064.701765,1,0,6p et plus
11212,2279974,02/03/2020,93,1910,4.6,2,30,10,5,86.9,4.7,539.8213574,1,1,4p
